sample_idx,point_type,perplexity,ppl_score,nearest_persona_sim,nearest_persona,probe_confidence,coherence,trait_dist_to_nearest,generated_text,alpha_honesty,alpha_assertiveness,alpha_warmth,alpha_deference,alpha_analytical_rigor,alpha_humor,alpha_suspicion,alpha_impulsivity
0,known,1.4149969816207886,0.7423202894635643,0.668566107749939,assistant,0.592393863020768,0.6677600867447572,0.0,"Eclipses occur when one celestial body passes into the shadow of another. There are two main types of eclipses: solar eclipses and lunar eclipses.

**Solar Eclipses:**

A solar eclipse occurs when the",0.800000011920929,0.20000000298023224,0.5,0.699999988079071,0.6000000238418579,0.0,-0.30000001192092896,-0.5
1,known,1.4436839818954468,0.7314228645357332,0.640627384185791,assistant,0.5724285169825446,0.648159588568023,0.0,"Eclipses occur when one celestial body passes in front of another, blocking the light from the background object. There are two main types of eclipses: solar eclipses and lunar eclipses.

**Solar Ecli",0.10000000149011612,0.800000011920929,-0.10000000149011612,-0.800000011920929,-0.5,0.6000000238418579,0.30000001192092896,0.8999999761581421
2,known,1.4005420207977295,0.7480218639931967,0.6691948175430298,assistant,0.5865659350036758,0.6679275388466341,0.0,"Eclipses occur when one celestial body passes through the shadow of another. There are two main types of eclipses: solar eclipses and lunar eclipses.

**Solar Eclipses:**

A solar eclipse occurs when ",0.5,0.5,-0.30000001192092896,0.6000000238418579,0.8999999761581421,-0.6000000238418579,0.4000000059604645,-0.800000011920929
3,known,1.4005420207977295,0.7480218639931967,0.6695069074630737,assistant,0.58995752277026,0.6691620980755101,0.0,"Eclipses occur when one celestial body passes through the shadow of another. There are two main types of eclipses: solar eclipses and lunar eclipses.

**Solar Eclipses:**

A solar eclipse occurs when ",0.8999999761581421,0.30000001192092896,-0.10000000149011612,0.4000000059604645,1.0,-0.4000000059604645,0.20000000298023224,-0.699999988079071
4,known,1.54994797706604,0.6953032563808226,0.6456614136695862,assistant,0.5759098670521053,0.6389581790341714,0.0,"Eclipses occur when one celestial body passes in front of another, blocking the light from the background object. There are two main types of eclipses: solar eclipses and lunar eclipses.

**Solar Ecli",0.20000000298023224,0.5,0.4000000059604645,-0.30000001192092896,-0.4000000059604645,1.0,-0.10000000149011612,0.699999988079071
5,known,1.4005420207977295,0.7480218639931967,0.6678855419158936,assistant,0.5889046621629267,0.6682706893573389,0.0,"Eclipses occur when one celestial body passes through the shadow of another. There are two main types of eclipses: solar eclipses and lunar eclipses.

**Solar Eclipses:**

A solar eclipse occurs when ",0.699999988079071,0.4000000059604645,-0.5,0.10000000149011612,0.6000000238418579,-0.800000011920929,0.10000000149011612,-0.8999999761581421
6,known,1.54994797706604,0.6953032563808226,0.6398247480392456,assistant,0.5621015124559632,0.6324098389586771,0.0,"Eclipses occur when one celestial body passes in front of another, blocking the light from the background object. There are two main types of eclipses: solar eclipses and lunar eclipses.

**Solar Ecli",-0.6000000238418579,0.699999988079071,-0.20000000298023224,-0.5,-0.6000000238418579,0.30000001192092896,1.0,0.6000000238418579
7,known,1.4149969816207886,0.7423202894635643,0.6663621664047241,assistant,0.5917176471373362,0.6668000343352082,0.0,"Eclipses occur when one celestial body passes into the shadow of another. There are two main types of eclipses: solar eclipses and lunar eclipses.

**Solar Eclipses:**

A solar eclipse occurs when the",0.699999988079071,0.10000000149011612,1.0,0.699999988079071,0.4000000059604645,0.30000001192092896,-0.6000000238418579,-0.30000001192092896
8,known,1.4005420207977295,0.7480218639931967,0.6502035856246948,assistant,0.5830521197731781,0.6604258564636898,0.0,"Eclipses occur when one celestial body passes through the shadow of another. There are two main types of eclipses: solar eclipses and lunar eclipses.

**Solar Eclipses:**

A solar eclipse occurs when ",0.5,1.0,-0.800000011920929,-0.699999988079071,0.20000000298023224,-0.30000001192092896,0.5,0.6000000238418579
9,known,1.5249227285385132,0.7032627048437328,0.6679345369338989,assistant,0.5829456162067024,0.6513809526614447,0.0,"Eclipses occur when one celestial body passes into the shadow of another. There are two main types of eclipses: solar eclipses and lunar eclipses.

**Solar Eclipses:**

A solar eclipse occurs when the",0.30000001192092896,-0.20000000298023224,0.699999988079071,0.8999999761581421,0.5,0.10000000149011612,0.20000000298023224,-0.800000011920929
10,interpolation,1.4005420207977295,0.7480218639931967,0.669511079788208,assistant,0.5899423265648925,0.6691584234487657,0.0013737749541178346,"Eclipses occur when one celestial body passes through the shadow of another. There are two main types of eclipses: solar eclipses and lunar eclipses.

**Solar Eclipses:**

A solar eclipse occurs when ",0.8994185924530029,0.2995155155658722,-0.09922479838132858,0.40048450231552124,0.9995155334472656,-0.3995155096054077,0.20000000298023224,-0.7000969052314758
11,interpolation,1.4005420207977295,0.7480218639931967,0.6691595315933228,assistant,0.5897901982565767,0.668990531281032,0.04738212004303932,"Eclipses occur when one celestial body passes through the shadow of another. There are two main types of eclipses: solar eclipses and lunar eclipses.

**Solar Eclipses:**

A solar eclipse occurs when ",0.8876733779907227,0.30352190136909485,-0.09119528532028198,0.38767340779304504,0.9753468036651611,-0.3753468096256256,0.1947171688079834,-0.6753467917442322
